assignment_id,employee_id,task_id,user_rating,feedback_text,timestamp
assign001,emp001,task001,1,Completed task ahead of schedule,2025-04-08T14:57:16.604357
assign002,emp002,task002,0,Employee struggled with this task,2025-04-08T14:57:16.620350
assign001,emp001,task001,1,Completed task ahead of schedule,2025-04-08T16:06:35.724365
assign002,emp002,task002,0,Employee struggled with this task,2025-04-08T16:06:35.735987
assign001,emp001,task001,1,Completed task ahead of schedule,2025-04-08T16:08:40.290929
assign002,emp002,task002,0,Employee struggled with this task,2025-04-08T16:08:40.302784
assign001,emp001,task001,1,Completed task ahead of schedule,2025-04-08T16:10:59.496574
assign002,emp002,task002,0,Employee struggled with this task,2025-04-08T16:10:59.509948
assign001,emp001,task001,1,Completed task ahead of schedule,2025-04-08T16:28:31.828880
assign002,emp002,task002,0,Employee struggled with this task,2025-04-08T16:28:31.840936
assign001,emp001,task001,1,Completed task ahead of schedule,2025-04-09T01:24:14.385033
assign002,emp002,task002,0,Employee struggled with this task,2025-04-09T01:24:14.416498
